id,company_id,type,title,content,summary,source_url,source_name,published_at,sentiment,entities,priority,is_read,is_bookmarked,assigned_to,content_status,notes,ai_analysis,hash,created_at
1,1,news,Stripe featured in Forbes 100 Cloud Companies list,,This signal indicates important business activity for Stripe. Click to view more details and take action.,https://example.com/news/35866e26,Business Insider,2025-12-01T06:24:01.062Z,positive,,low,false,false,,new,,,539192c7,2025-12-26T16:41:01.064Z
2,1,product_launch,Stripe launches new enterprise security features,,This signal indicates important business activity for Stripe. Click to view more details and take action.,https://example.com/news/64583eb6,Business Insider,2025-12-12T01:37:01.068Z,positive,,medium,false,true,,reviewing,,,73da6e37,2025-12-26T16:41:01.069Z
3,1,press_release,Stripe achieves SOC 2 Type II certification,,This signal indicates important business activity for Stripe. Click to view more details and take action.,https://example.com/news/3462798e,Business Insider,2025-12-25T22:15:01.075Z,positive,,medium,false,false,,new,,,5f2d1c85,2025-12-26T16:41:01.075Z
4,1,partnership,Stripe expands AWS integration with new certified partnership,,This signal indicates important business activity for Stripe. Click to view more details and take action.,https://example.com/news/5bfd8026,Business Insider,2025-12-07T10:10:01.079Z,positive,,medium,false,false,,new,,,dcfff39,2025-12-26T16:41:01.080Z
5,2,product_launch,OpenAI launches new enterprise security features,,This signal indicates important business activity for OpenAI. Click to view more details and take action.,https://example.com/news/63e93951,Company Blog,2025-12-04T11:02:01.083Z,positive,,medium,true,false,,new,,,7bf57781,2025-12-26T16:41:01.084Z
6,2,partnership,OpenAI and Salesforce announce joint go-to-market initiative,,This signal indicates important business activity for OpenAI. Click to view more details and take action.,https://example.com/news/127e2480,Business Insider,2025-11-30T15:39:01.087Z,positive,,medium,true,false,,reviewing,,,1c997492,2025-12-26T16:41:01.088Z
7,2,product_launch,OpenAI launches new enterprise security features,,This signal indicates important business activity for OpenAI. Click to view more details and take action.,https://example.com/news/63e93951,Business Insider,2025-12-06T17:02:01.092Z,positive,,medium,false,false,,new,,,7bf57781,2025-12-26T16:41:01.093Z
8,2,press_release,OpenAI reports 150% year-over-year revenue growth,,This signal indicates important business activity for OpenAI. Click to view more details and take action.,https://example.com/news/5c9d6e53,Bloomberg,2025-12-13T22:30:01.096Z,positive,,medium,false,false,,new,,,39cf7401,2025-12-26T16:41:01.096Z
9,3,partnership,Databricks expands AWS integration with new certified partnership,,This signal indicates important business activity for Databricks. Click to view more details and take action.,https://example.com/news/84f7ecb,Bloomberg,2025-12-07T13:15:01.100Z,positive,,medium,true,false,,new,,,50b4be59,2025-12-26T16:41:01.101Z
10,3,news,Databricks featured in Forbes 100 Cloud Companies list,,This signal indicates important business activity for Databricks. Click to view more details and take action.,https://example.com/news/2ec98077,TechCrunch,2025-12-03T02:39:01.104Z,positive,,low,false,false,,new,,,452eece5,2025-12-26T16:41:01.105Z
11,3,press_release,Databricks expands to EMEA with new London headquarters,,This signal indicates important business activity for Databricks. Click to view more details and take action.,https://example.com/news/6bab8729,Business Insider,2025-11-28T17:36:01.107Z,positive,,medium,false,false,,new,,,57981cb3,2025-12-26T16:41:01.111Z
12,3,press_release,Databricks reports 150% year-over-year revenue growth,,This signal indicates important business activity for Databricks. Click to view more details and take action.,https://example.com/news/54180ae3,Bloomberg,2025-12-09T22:01:01.113Z,positive,,medium,true,false,,new,,,17ba7041,2025-12-26T16:41:01.114Z
13,4,press_release,Figma achieves SOC 2 Type II certification,,This signal indicates important business activity for Figma. Click to view more details and take action.,https://example.com/news/bd14863,Reuters,2025-12-03T19:23:01.117Z,positive,,medium,false,false,,new,,,38b735f5,2025-12-26T16:41:01.118Z
14,4,news,Industry analysts predict strong growth for Figma in 2025,,This signal indicates important business activity for Figma. Click to view more details and take action.,https://example.com/news/4f9a36a7,Reuters,2025-12-18T22:44:01.121Z,positive,,low,true,false,,new,,,60badebf,2025-12-26T16:41:01.121Z
15,4,funding,Figma announces $200M growth round led by Sequoia,,This signal indicates important business activity for Figma. Click to view more details and take action.,https://example.com/news/57540cd7,Company Blog,2025-12-16T06:30:01.124Z,positive,,high,false,false,,new,,,229a911,2025-12-26T16:41:01.125Z
16,4,partnership,Figma announces strategic partnership with Microsoft,,This signal indicates important business activity for Figma. Click to view more details and take action.,https://example.com/news/6b8d20d2,TechCrunch,2025-12-09T03:56:01.129Z,positive,,medium,true,false,,new,,,3e0b260a,2025-12-26T16:41:01.131Z
17,4,news,Industry analysts predict strong growth for Figma in 2025,,This signal indicates important business activity for Figma. Click to view more details and take action.,https://example.com/news/4f9a36a7,Bloomberg,2025-12-04T21:57:01.133Z,positive,,low,false,false,,new,,,60badebf,2025-12-26T16:41:01.133Z
18,4,partnership,Figma expands AWS integration with new certified partnership,,This signal indicates important business activity for Figma. Click to view more details and take action.,https://example.com/news/aa2dc91,Business Insider,2025-11-27T07:50:01.136Z,positive,,medium,true,true,,new,,,57d66269,2025-12-26T16:41:01.137Z
19,4,product_launch,Figma releases major platform update with 50+ new integrations,,This signal indicates important business activity for Figma. Click to view more details and take action.,https://example.com/news/748d0474,Company Blog,2025-12-18T04:23:01.140Z,positive,,medium,false,false,,new,,,f24146c,2025-12-26T16:41:01.141Z
