id,name,industry,region,country,website,location,description,linkedin_url,twitter_handle,product_types,tags,is_active
889,"4B Braime Components Ltd.","Baking & Milling","","","","","","","","","manufacturers; manufacturer-s-guide",true
890,"4B Components Ltd.","Baking & Milling","","","","","","","","","manufacturers; buyer-s-guide",true
891,"7S Creston, LLC","Baking & Milling","","","","","","","","","mill-guide; mill-type-index",true
892,"A.T. Ferrell","Baking & Milling","","","","","","","","","manufacturers; buyer-s-guide",true
894,"ACME","Baking & Milling","","","","","","","","","mill-guide; wheat-flour-mills-caribbean",true
895,"ADM","Baking & Milling","","","","","","","","","manufacturers; ad-index",true
896,"ADM Agri-Industries Ltd.","Baking & Milling","","","","","","","","","mill-guide; multiple-mill-companies",true
717,"ADM Animal Nutrition","Feed","North America","United States","","","","","","","feed; additive; aqua-feed; compound; horse-feed; pet-feed; pig-feed; poultry-feed; premix; ruminant-feed",true
897,"ADM Corn Processing Division","Baking & Milling","","","","","","","","","mill-guide; multiple-mill-companies",true
898,"ADM Engineering Services","Baking & Milling","","","","","","","","","manufacturers; buyer-s-guide",true
899,"ADM Milling (Atkinson Mill)","Baking & Milling","","","","","","","","","mill-guide; wheat-flour-mills-mexico",true
900,"ADM Milling Co.","Baking & Milling","","","","","","","","","mill-guide; multiple-mill-companies",true
901,"ADM Milling Co. (East)","Baking & Milling","","","","","","","","","mill-guide; wheat-flour-mills-mexico",true
903,"AG Com, Inc.","Baking & Milling","","","","","","","","","mill-guide; wheat-durum-mills-index",true
905,"AGI","Baking & Milling","","","","","","","","","manufacturers; buyer-s-guide",true
906,"AGI Industries","Baking & Milling","","","","","","","","","manufacturers; buyer-s-guide",true
907,"AGRA Industries, Inc.","Baking & Milling","","","","","","","","","manufacturers; buyer-s-guide",true
908,"AGRI-associates, Inc.","Baking & Milling","","","","","","","","","manufacturers; manufacturer-s-guide",true
919,"AIB International","Baking & Milling","","","","","","","","","manufacturers; buyer-s-guide",true
925,"AIRLANCO","Baking & Milling","","","","","","","","","manufacturers; buyer-s-guide",true
926,"AIRLANCO (AGI)","Baking & Milling","","","","","","","","","manufacturers; manufacturer-s-guide",true
936,"ALINTIBELK","Baking & Milling","","","","","","","","","manufacturers; buyer-s-guide",true
940,"ALTINBILEK","Baking & Milling","","","","","","","","","manufacturers; buyer-s-guide",true
949,"AMETEK Brookfield, Inc.","Baking & Milling","","","","","","","","","manufacturers; buyer-s-guide",true
954,"APOSGRAN","Baking & Milling","","","","","","","","","manufacturers; buyer-s-guide",true
955,"APOSGRAN Asociación Argentina de Procesadores de Granos","Baking & Milling","","","","","","","","","manufacturers; manufacturer-s-guide",true
893,"Aalener Maschinenfabrik GmbH & Co. KG","Baking & Milling","","","","","","","","","manufacturers; buyer-s-guide",true
902,"Advanced Detection Systems","Baking & Milling","","","","","","","","","manufacturers; manufacturer-s-guide",true
904,"Ag Processing, Inc.","Baking & Milling","","","","","","","","","mill-guide; multiple-mill-companies",true
918,"AgTrax","Baking & Milling","","","","","","","","","manufacturers; buyer-s-guide",true
909,"AgriChem, Inc.","Baking & Milling","","","","","","","","","manufacturers; buyer-s-guide",true
913,"AgriSolutions, Inc.","Baking & Milling","","","","","","","","","manufacturers; manufacturer-s-guide",true
910,"Agrico Sales","Baking & Milling","","","","","","","","","manufacturers; buyer-s-guide",true
911,"Agrilogistics, Inc.","Baking & Milling","","","","","","","","","manufacturers; buyer-s-guide",true
912,"Agrimatic AG","Baking & Milling","","","","","","","","","manufacturers; buyer-s-guide",true
914,"Agromatic AG","Baking & Milling","","","","","","","","","manufacturers; manufacturer-s-guide",true
915,"Agronamics AG","Baking & Milling","","","","","","","","","manufacturers; buyer-s-guide",true
917,"Agrromatic AG","Baking & Milling","","","","","","","","","manufacturers; buyer-s-guide",true
920,"Air Cleaning Blowers, LLC","Baking & Milling","","","","","","","","","manufacturers; buyer-s-guide",true
921,"Air Process Systems","Baking & Milling","","","","","","","","","manufacturers; buyer-s-guide",true
922,"Air Process Systems & Conveyors, Inc.","Baking & Milling","","","","","","","","","manufacturers; manufacturer-s-guide",true
923,"Airamic, Inc.","Baking & Milling","","","","","","","","","manufacturers; buyer-s-guide",true
924,"Airanco","Baking & Milling","","","","","","","","","manufacturers; buyer-s-guide",true
927,"Airmatic","Baking & Milling","","","","","","","","","manufacturers; ad-index",true
928,"Airmatic, Inc.","Baking & Milling","","","","","","","","","manufacturers; buyer-s-guide",true
929,"Airtron","Baking & Milling","","","","","","","","","manufacturers; buyer-s-guide",true
930,"Alabama Feed Tech","Baking & Milling","","","","","","","","","manufacturers; buyer-s-guide",true
931,"Alapala","Baking & Milling","","","","","","","","","manufacturers; buyer-s-guide",true
932,"Alapala (Head Office)","Baking & Milling","","","","","","","","","manufacturers; manufacturer-s-guide",true
933,"Alapala Feed","Baking & Milling","","","","","","","","","manufacturers; buyer-s-guide",true
934,"Alapala Feed Tech","Baking & Milling","","","","","","","","","manufacturers; buyer-s-guide",true
